n,player_name,gp,pts,reb,ast,draft_round,season
0,Eldridge Recasner,71,5.7,1.6,1.3,Undrafted,1996-97
1,Emanual Davis,13,5.0,1.7,2.0,Undrafted,1996-97
2,Erick Strickland,28,10.6,3.2,2.4,Undrafted,1996-97
3,Evric Gray,5,2.6,0.6,0.4,Undrafted,1996-97
4,Henry James,53,6.7,1.5,0.4,Undrafted,1996-97
5,Jimmy Carruth,4,1.3,1.0,0.0,Undrafted,1996-97
6,Joe Courtney,9,2.8,1.8,0.0,Undrafted,1996-97
7,Joe Stephens,2,1.5,1.5,0.0,Undrafted,1996-97
8,John Crotty,48,4.8,1.0,2.1,Undrafted,1996-97
9,John Starks,77,13.8,2.7,2.8,Undrafted,1996-97
10,Horacio Llamas,20,1.7,0.9,0.2,Undrafted,1996-97
11,Ivano Newbill,72,1.4,2.8,0.3,Undrafted,1996-97
12,James Scott,8,0.1,0.8,0.4,Undrafted,1996-97
13,Jaren Jackson,75,5.0,1.8,0.9,Undrafted,1996-97
14,Chris Jent,3,2.0,0.3,0.3,Undrafted,1996-97
15,Chris Childs,65,9.3,2.9,6.1,Undrafted,1996-97
16,Bruce Bowen,1,0.0,0.0,0.0,Undrafted,1996-97
17,Carl Thomas,19,1.1,0.7,0.4,Undrafted,1996-97
18,Dexter Boney,8,2.4,0.8,0.0,Undrafted,1996-97
19,Donald Whiteside,27,2.2,0.4,1.3,Undrafted,1996-97
20,Duane Ferrell,62,6.4,2.3,1.1,Undrafted,1996-97
21,Devin Gray,6,3.0,2.3,0.3,Undrafted,1996-97
22,Darrell Armstrong,67,6.1,1.1,2.6,Undrafted,1996-97
23,Darrick Martin,82,10.9,1.4,4.1,Undrafted,1996-97
24,Darvin Ham,36,2.3,1.6,0.4,Undrafted,1996-97
25,David Wesley,74,16.8,3.6,7.3,Undrafted,1996-97
26,David Wood,46,1.2,0.6,0.3,Undrafted,1996-97
27,Dell Demps,2,1.0,0.0,0.0,Undrafted,1996-97
28,Brett Szabo,70,2.2,2.4,0.2,Undrafted,1996-97
29,Keith Askins,78,4.9,3.5,1.0,Undrafted,1996-97
30,Scott Williams,62,5.8,6.4,0.7,Undrafted,1996-97
31,Shane Heal,43,1.7,0.4,0.8,Undrafted,1996-97
32,Scott Brooks,38,1.5,0.5,0.8,Undrafted,1996-97
33,Stephen Howard,49,3.6,1.7,0.2,Undrafted,1996-97
34,Robert Pack,54,14.3,2.7,8.4,Undrafted,1996-97
35,Ruben Nembhard,10,4.0,0.8,1.7,Undrafted,1996-97
36,Sam Mack,52,5.6,2.0,1.1,Undrafted,1996-97
37,Tracy Moore,27,3.7,1.0,0.7,Undrafted,1996-97
38,Stevin Smith,8,1.8,1.3,0.5,Undrafted,1996-97
39,Stojko Vrankovic,53,3.4,3.2,0.3,Undrafted,1996-97
40,Tim Legler,15,2.9,1.4,0.5,Undrafted,1996-97
41,Reggie Slater,26,7.8,3.7,0.8,Undrafted,1996-97
42,Lorenzo Williams,19,2.4,3.6,0.2,Undrafted,1996-97
43,Mark Bradtke,36,1.6,1.9,0.2,Undrafted,1996-97
44,Larry Stewart,70,4.3,2.4,0.7,Undrafted,1996-97
45,Keith Tower,5,1.4,1.8,0.2,Undrafted,1996-97
46,Kevin Salvadori,23,1.6,1.1,0.4,Undrafted,1996-97
47,Mark Strickland,31,2.0,1.2,0.0,Undrafted,1996-97
48,Ray Owes,57,3.1,2.9,0.3,Undrafted,1996-97
49,Reggie Jordan,19,2.1,1.4,0.6,Undrafted,1996-97
50,Nate Driggers,15,2.4,1.5,0.4,Undrafted,1996-97
51,Marty Conlon,74,7.8,4.4,1.4,Undrafted,1996-97
52,Matt Bullard,71,4.5,1.6,0.9,Undrafted,1996-97
53,Matt Maloney,82,9.4,2.0,3.7,Undrafted,1996-97
54,Melvin Booker,21,5.8,1.4,2.5,Undrafted,1996-97
55,Michael Curry,81,3.9,1.5,0.5,Undrafted,1996-97
56,Michael Hawkins,29,2.8,1.1,2.2,Undrafted,1996-97
57,Mitchell Butler,49,3.0,1.1,0.6,Undrafted,1996-97
58,Brent Scott,16,1.2,0.6,0.2,Undrafted,1996-97
59,Lloyd Daniels,22,4.5,2.0,1.2,Undrafted,1996-97
60,Ashraf Amaya,31,1.3,1.7,0.1,Undrafted,1996-97
61,Avery Johnson,76,10.5,1.9,6.8,Undrafted,1996-97
62,Ben Wallace,34,1.1,1.7,0.1,Undrafted,1996-97
63,Bo Outlaw,82,7.6,5.5,1.9,Undrafted,1996-97
64,Antonio Harvey,6,2.5,1.7,0.2,Undrafted,1996-97
65,Aaron Williams,33,6.2,4.3,0.5,Undrafted,1996-97
66,Adrian Caldwell,45,2.2,3.7,0.3,Undrafted,1996-97
67,Aleksandar Djordjevic,8,3.1,0.6,0.6,Undrafted,1996-97
68,Mitchell Butler,18,2.1,1.2,1.0,Undrafted,1997-98
69,Michael Curry,82,6.6,1.2,1.7,Undrafted,1997-98
70,Matt Maloney,78,8.6,1.8,2.8,Undrafted,1997-98
71,Matt Bullard,67,7.0,2.2,0.9,Undrafted,1997-98
72,Michael Stewart,81,4.6,6.6,0.8,Undrafted,1997-98
73,Marty Conlon,18,4.9,2.6,0.7,Undrafted,1997-98
74,Rick Brunson,38,4.3,1.5,2.6,Undrafted,1997-98
75,Reggie Slater,78,8.0,3.9,0.9,Undrafted,1997-98
76,Reggie Jordan,57,2.6,1.7,0.9,Undrafted,1997-98
77,Reggie Hanson,8,0.8,0.8,0.1,Undrafted,1997-98
78,Larry Robinson,6,2.8,2.0,0.2,Undrafted,1997-98
79,Kiwane Garris,28,2.4,0.7,1.0,Undrafted,1997-98
80,Kevin Salvadori,16,0.3,1.3,0.2,Undrafted,1997-98
81,Kevin Ollie,35,3.5,1.1,1.9,Undrafted,1997-98
82,Keith Closs,58,4.0,2.9,0.3,Undrafted,1997-98
83,Mark Strickland,51,6.8,4.2,0.5,Undrafted,1997-98
84,Lorenzo Williams,14,1.9,1.9,0.2,Undrafted,1997-98
85,Lloyd Daniels,6,5.7,1.2,0.7,Undrafted,1997-98
86,Tony Farmer,27,2.5,1.2,0.2,Undrafted,1997-98
87,Tim Legler,8,1.1,0.5,0.4,Undrafted,1997-98
88,Tim Breaux,6,1.7,0.3,0.3,Undrafted,1997-98
89,Travis Williams,39,3.5,2.4,0.5,Undrafted,1997-98
90,Troy Hudson,8,1.5,0.3,0.5,Undrafted,1997-98
91,William Cunningham,7,1.1,1.4,0.1,Undrafted,1997-98
92,Scott Williams,58,4.1,3.6,0.5,Undrafted,1997-98
93,Scott Brooks,43,1.8,0.7,1.1,Undrafted,1997-98
94,Sam Mack,57,10.8,2.3,1.8,Undrafted,1997-98
95,Rusty LaRue,14,3.5,0.6,0.4,Undrafted,1997-98
96,Robert Pack,12,7.8,2.8,3.5,Undrafted,1997-98
97,Terry Davis,74,4.4,6.5,0.4,Undrafted,1997-98
98,Stojko Vrankovic,65,3.0,4.0,0.6,Undrafted,1997-98
99,Stephen Howard,13,1.9,0.9,0.2,Undrafted,1997-98
100,Shea Seals,4,1.0,1.0,0.0,Undrafted,1997-98
101,Keith Askins,46,2.4,2.2,0.6,Undrafted,1997-98
102,Adrian Caldwell,1,0.0,0.0,0.0,Undrafted,1997-98
103,Aaron Williams,65,4.6,2.3,0.2,Undrafted,1997-98
104,David Wesley,81,13.0,2.6,6.5,Undrafted,1997-98
105,David Benoit,77,5.5,2.6,0.3,Undrafted,1997-98
106,Darvin Ham,71,2.0,1.8,0.2,Undrafted,1997-98
107,Darrick Martin,82,10.3,2.0,4.0,Undrafted,1997-98
108,Darrell Armstrong,48,9.2,3.3,4.9,Undrafted,1997-98
109,Corey Beck,59,3.2,1.5,1.7,Undrafted,1997-98
110,Carl Thomas,43,3.4,1.1,0.4,Undrafted,1997-98
111,Bruce Bowen,61,5.6,2.9,1.3,Undrafted,1997-98
112,Chris Childs,68,6.3,2.4,3.9,Undrafted,1997-98
113,Ben Wallace,67,3.1,4.8,0.3,Undrafted,1997-98
114,Bo Outlaw,82,9.5,7.8,2.6,Undrafted,1997-98
115,Brandon Williams,9,4.1,1.7,0.3,Undrafted,1997-98
116,Chris Garner,38,1.4,0.6,1.2,Undrafted,1997-98
117,Avery Johnson,75,10.2,2.0,7.9,Undrafted,1997-98
118,Ivano Newbill,28,2.1,2.5,0.3,Undrafted,1997-98
119,Jaren Jackson,82,8.8,2.6,1.9,Undrafted,1997-98
120,Horacio Llamas,8,3.0,2.3,0.1,Undrafted,1997-98
121,Henry James,28,2.9,0.5,0.2,Undrafted,1997-98
122,Harold Ellis,27,6.1,1.9,0.7,Undrafted,1997-98
123,John Starks,82,12.9,2.8,2.7,Undrafted,1997-98
124,John Crotty,26,3.7,1.2,2.4,Undrafted,1997-98
125,Joe Stephens,7,3.9,0.9,0.1,Undrafted,1997-98
126,Duane Ferrell,50,1.9,0.9,0.5,Undrafted,1997-98
127,Donald Whiteside,3,0.7,0.3,0.3,Undrafted,1997-98
128,Derek Grimm,9,1.6,0.4,0.0,Undrafted,1997-98
129,Eldridge Recasner,59,9.3,2.4,2.0,Undrafted,1997-98
130,Gerald Madkins,19,1.9,0.8,2.4,Undrafted,1997-98
131,Etdrick Bohannon,5,0.0,1.2,0.2,Undrafted,1997-98
132,Erick Strickland,67,7.6,2.4,2.5,Undrafted,1997-98
133,Emanual Davis,45,4.1,1.0,1.3,Undrafted,1997-98
134,Duane Ferrell,8,0.6,0.8,0.0,Undrafted,1998-99
135,Earl Boykins,22,3.0,0.8,1.5,Undrafted,1998-99
136,Darrick Martin,37,8.0,1.3,3.9,Undrafted,1998-99
137,Damon Jones,24,5.2,1.8,1.8,Undrafted,1998-99
138,Darrell Armstrong,50,13.8,3.6,6.7,Undrafted,1998-99
139,David Wesley,50,14.1,3.2,6.4,Undrafted,1998-99
140,Gerard King,19,1.2,0.7,0.2,Undrafted,1998-99
141,Gerald Brown,33,2.4,0.7,0.9,Undrafted,1998-99
142,Eldridge Recasner,44,5.0,1.8,2.1,Undrafted,1998-99
143,Erick Strickland,33,7.5,2.5,1.9,Undrafted,1998-99
144,Etdrick Bohannon,2,0.0,0.0,0.0,Undrafted,1998-99
145,Avery Johnson,50,9.7,2.4,7.4,Undrafted,1998-99
146,Ben Wallace,46,6.0,8.3,0.4,Undrafted,1998-99
147,Bo Outlaw,31,6.5,5.4,1.8,Undrafted,1998-99
148,Aaron Williams,40,4.0,3.2,0.6,Undrafted,1998-99
149,Alvin Sims,4,2.8,1.0,1.3,Undrafted,1998-99
150,Andrew Gaze,19,1.1,0.3,0.3,Undrafted,1998-99
151,Brad Miller,38,6.3,3.1,0.6,Undrafted,1998-99
152,Chris Childs,48,6.8,2.8,4.0,Undrafted,1998-99
153,Corey Beck,24,1.9,1.2,0.8,Undrafted,1998-99
154,Charles R. Jones,29,3.7,1.4,1.4,Undrafted,1998-99
155,Brandon Williams,3,0.7,0.3,0.0,Undrafted,1998-99
156,Bruce Bowen,30,2.3,1.7,0.9,Undrafted,1998-99
157,Rusty LaRue,43,4.7,1.3,1.5,Undrafted,1998-99
158,Sam Mack,44,10.7,2.2,1.3,Undrafted,1998-99
159,Scott Williams,7,2.0,2.0,0.1,Undrafted,1998-99
160,Robert Pack,25,8.9,1.4,3.2,Undrafted,1998-99
161,Peter Aluma,2,1.0,1.0,0.0,Undrafted,1998-99
162,Randell Jackson,27,4.2,2.0,0.3,Undrafted,1998-99
163,Reggie Jordan,27,1.9,2.2,1.5,Undrafted,1998-99
164,Reggie Slater,30,3.8,2.3,0.2,Undrafted,1998-99
165,Rick Brunson,17,1.0,0.6,1.1,Undrafted,1998-99
166,Travis Williams,8,1.9,2.4,0.3,Undrafted,1998-99
167,Trevor Winter,1,0.0,3.0,0.0,Undrafted,1998-99
168,Troy Hudson,25,6.8,2.2,3.7,Undrafted,1998-99
169,Tyrone Nesby,50,10.1,3.5,1.6,Undrafted,1998-99
170,William Cunningham,16,0.4,1.8,0.1,Undrafted,1998-99
171,Stojko Vrankovic,2,1.0,3.0,0.0,Undrafted,1998-99
172,Terry Davis,37,3.4,3.8,0.3,Undrafted,1998-99
173,Tim Legler,30,4.0,1.3,0.7,Undrafted,1998-99
174,Jonathan Kerner,1,0.0,0.0,0.0,Undrafted,1998-99
175,Keith Askins,33,1.6,1.3,0.3,Undrafted,1998-99
176,John Starks,50,13.8,3.3,4.7,Undrafted,1998-99
177,Kelly McCarty,2,2.0,1.5,0.0,Undrafted,1998-99
178,Kevin Ollie,8,1.6,0.9,0.4,Undrafted,1998-99
179,Keith Closs,15,2.1,1.7,0.0,Undrafted,1998-99
180,Kornel David,50,6.2,3.5,0.8,Undrafted,1998-99
181,John Crotty,27,5.9,1.1,2.3,Undrafted,1998-99
182,Jaren Jackson,47,6.4,2.1,1.0,Undrafted,1998-99
183,John Coker,14,2.2,1.6,0.0,Undrafted,1998-99
184,Jeff Sheppard,17,2.4,1.3,0.9,Undrafted,1998-99
185,Mikki Moore,2,2.0,0.5,0.0,Undrafted,1998-99
186,Michael Stewart,42,1.5,2.4,0.1,Undrafted,1998-99
187,Michael Hawkins,24,1.5,1.0,1.1,Undrafted,1998-99
188,Michael Curry,50,4.9,2.2,1.6,Undrafted,1998-99
189,Matt Maloney,15,1.4,0.7,1.4,Undrafted,1998-99
190,Matt Bullard,41,2.9,1.0,0.4,Undrafted,1998-99
191,Marty Conlon,7,1.1,0.7,0.1,Undrafted,1998-99
192,Marlon Garnett,24,2.1,0.9,0.8,Undrafted,1998-99
193,Mark Strickland,32,3.7,2.4,0.3,Undrafted,1998-99
194,Mitchell Butler,31,5.4,1.4,0.7,Undrafted,1998-99
195,Mark Baker,1,0.0,0.0,0.0,Undrafted,1998-99
196,Michael Stewart,42,1.4,2.2,0.1,Undrafted,1999-00
197,Michael Hawkins,12,0.7,0.6,1.1,Undrafted,1999-00
198,Michael Curry,82,6.2,1.3,1.1,Undrafted,1999-00
199,Matt Maloney,51,6.4,1.3,2.7,Undrafted,1999-00
200,Mikki Moore,29,7.9,3.9,0.6,Undrafted,1999-00
201,Milt Palacio,53,2.0,1.0,0.9,Undrafted,1999-00
202,Marty Conlon,3,0.7,0.7,0.0,Undrafted,1999-00
203,Keith Closs,57,4.2,3.1,0.4,Undrafted,1999-00
204,John Starks,37,13.9,2.7,4.9,Undrafted,1999-00
205,Joe Stephens,13,3.2,2.8,0.8,Undrafted,1999-00
206,John Amaechi,80,10.5,3.3,1.2,Undrafted,1999-00
207,John Crotty,69,4.7,1.1,1.9,Undrafted,1999-00
208,Matt Bullard,56,6.8,2.5,1.1,Undrafted,1999-00
209,Kevin Ollie,40,1.8,0.8,1.2,Undrafted,1999-00
210,Lorenzo Williams,8,1.8,3.1,0.1,Undrafted,1999-00
211,Mark Strickland,58,4.9,2.4,0.4,Undrafted,1999-00
212,Lazaro Borrell,17,3.6,2.4,0.6,Undrafted,1999-00
213,Kiwane Garris,3,1.3,0.3,0.7,Undrafted,1999-00
214,Kornel David,32,5.6,2.5,0.5,Undrafted,1999-00
215,Jermaine Jackson,7,1.0,1.6,0.6,Undrafted,1999-00
216,Tim Legler,23,3.3,1.0,1.0,Undrafted,1999-00
217,Thomas Hamilton,22,3.7,4.1,0.7,Undrafted,1999-00
218,Tony Farmer,74,6.3,4.0,1.0,Undrafted,1999-00
219,Wayne Turner,3,1.3,1.0,1.7,Undrafted,1999-00
220,Tyrone Nesby,73,13.3,3.8,1.7,Undrafted,1999-00
221,Troy Hudson,62,8.8,2.4,3.9,Undrafted,1999-00
222,Robert Pack,29,8.9,1.4,5.8,Undrafted,1999-00
223,Rick Hughes,21,3.9,2.3,0.4,Undrafted,1999-00
224,Rick Brunson,37,1.9,0.7,1.3,Undrafted,1999-00
225,Reggie Jordan,36,1.1,1.1,0.9,Undrafted,1999-00
226,Randell Jackson,1,0.0,0.0,0.0,Undrafted,1999-00
227,Scott Williams,68,7.6,6.6,0.4,Undrafted,1999-00
228,Sam Mack,23,5.0,1.7,1.0,Undrafted,1999-00
229,Rusty LaRue,4,9.3,2.5,2.8,Undrafted,1999-00
230,Jason Miskiri,1,0.0,0.0,1.0,Undrafted,1999-00
231,Bruce Bowen,69,2.8,1.4,0.5,Undrafted,1999-00
232,Brad Miller,55,7.7,5.3,0.8,Undrafted,1999-00
233,Charles R. Jones,56,3.4,1.1,1.7,Undrafted,1999-00
234,Chucky Atkins,82,9.5,1.5,3.7,Undrafted,1999-00
235,Chris Childs,71,5.3,2.1,4.0,Undrafted,1999-00
236,Anthony Carter,79,6.3,2.5,4.8,Undrafted,1999-00
237,Adrian Griffin,72,6.7,5.2,2.5,Undrafted,1999-00
238,Aaron Williams,81,7.6,5.0,0.7,Undrafted,1999-00
239,Bo Outlaw,82,6.0,6.4,3.0,Undrafted,1999-00
240,Ben Wallace,81,4.8,8.2,0.8,Undrafted,1999-00
241,Avery Johnson,82,11.2,1.9,6.0,Undrafted,1999-00
242,Antonio Harvey,19,2.2,1.7,0.3,Undrafted,1999-00
243,Damon Jones,55,4.2,1.0,1.7,Undrafted,1999-00
244,Gerard King,62,5.3,4.0,0.8,Undrafted,1999-00
245,Fred Vinson,8,1.6,0.1,0.0,Undrafted,1999-00
246,Etdrick Bohannon,13,2.2,2.4,0.4,Undrafted,1999-00
247,Erick Strickland,68,12.8,4.8,3.1,Undrafted,1999-00
248,Jaren Jackson,81,6.3,2.2,1.5,Undrafted,1999-00
249,Harold Jamison,12,1.5,1.8,0.3,Undrafted,1999-00
250,Ira Bowman,11,0.5,0.2,0.1,Undrafted,1999-00
251,Derek Hood,2,0.0,0.5,0.0,Undrafted,1999-00
252,Dedric Willoughby,25,7.6,2.0,2.6,Undrafted,1999-00
253,Darvin Ham,35,5.1,4.9,1.2,Undrafted,1999-00
254,Darrick Martin,71,5.7,0.6,1.7,Undrafted,1999-00
255,Emanual Davis,54,4.0,1.9,1.3,Undrafted,1999-00
256,David Wesley,82,13.6,2.7,5.6,Undrafted,1999-00
257,Darrell Armstrong,82,16.2,3.3,6.1,Undrafted,1999-00
258,Eddie Robinson,67,7.0,2.7,0.5,Undrafted,1999-00
259,Earl Boykins,26,5.3,1.0,1.8,Undrafted,1999-00
260,Eldridge Recasner,7,1.0,0.6,0.7,Undrafted,1999-00
261,Devin Gray,21,2.3,1.2,0.2,Undrafted,1999-00
262,Jaren Jackson,16,2.4,0.8,0.4,Undrafted,2000-01
263,Jamel Thomas,5,2.6,1.8,0.0,Undrafted,2000-01
264,John Starks,75,9.3,2.1,2.4,Undrafted,2000-01
265,John Crotty,31,2.1,0.9,1.1,Undrafted,2000-01
266,John Coker,6,0.3,0.8,0.3,Undrafted,2000-01
267,John Amaechi,82,7.9,3.3,0.9,Undrafted,2000-01
268,Jamal Robinson,6,1.0,1.8,0.3,Undrafted,2000-01
269,Gerard King,45,4.8,2.9,0.7,Undrafted,2000-01
270,Garth Joseph,4,0.5,0.5,0.3,Undrafted,2000-01
271,Ira Newble,27,2.0,1.3,0.2,Undrafted,2000-01
272,Ira Bowman,3,0.0,0.7,2.3,Undrafted,2000-01
273,Michael Hawkins,10,0.8,0.5,1.3,Undrafted,2000-01
274,Michael Curry,68,5.2,1.8,1.9,Undrafted,2000-01
275,Matt Maloney,55,6.7,2.1,2.8,Undrafted,2000-01
276,Matt Bullard,61,5.8,2.1,0.7,Undrafted,2000-01
277,Mark Strickland,55,4.5,2.9,0.4,Undrafted,2000-01
278,Michael Stewart,26,1.3,1.1,0.1,Undrafted,2000-01
279,Mikki Moore,81,4.4,3.9,0.4,Undrafted,2000-01
280,Mike Penberthy,53,5.0,1.2,1.3,Undrafted,2000-01
281,Kornel David,27,2.3,1.9,0.3,Undrafted,2000-01
282,Kevin Ollie,70,3.1,1.4,2.1,Undrafted,2000-01
283,Larry Robinson,34,5.9,2.6,1.1,Undrafted,2000-01
284,Bruce Bowen,82,7.6,3.0,1.6,Undrafted,2000-01
285,Brad Miller,57,8.9,7.4,1.9,Undrafted,2000-01
286,Chris Garner,8,2.4,1.5,2.3,Undrafted,2000-01
287,Chris Childs,77,4.7,2.6,4.6,Undrafted,2000-01
288,Bo Outlaw,80,7.3,7.7,2.8,Undrafted,2000-01
289,Andy Panko,1,0.0,0.0,0.0,Undrafted,2000-01
290,Adrian Griffin,44,2.1,2.0,0.6,Undrafted,2000-01
291,Aaron Williams,82,10.2,7.2,1.1,Undrafted,2000-01
292,Ben Wallace,80,6.4,13.2,1.5,Undrafted,2000-01
293,Avery Johnson,55,5.6,1.5,4.3,Undrafted,2000-01
294,Art Long,9,0.0,0.9,0.1,Undrafted,2000-01
295,Anthony Carter,72,6.4,2.5,3.7,Undrafted,2000-01
296,Antonio Harvey,12,2.6,1.2,0.3,Undrafted,2000-01
297,Etdrick Bohannon,6,1.3,1.2,0.0,Undrafted,2000-01
298,Eddie Gill,8,4.9,1.1,3.0,Undrafted,2000-01
299,Erick Strickland,50,5.2,2.6,1.9,Undrafted,2000-01
300,Earl Boykins,10,6.5,1.1,3.2,Undrafted,2000-01
301,Emanual Davis,62,5.8,2.5,2.2,Undrafted,2000-01
302,Eldridge Recasner,43,2.4,1.2,0.9,Undrafted,2000-01
303,Eddie Robinson,67,7.4,3.0,0.9,Undrafted,2000-01
304,Damon Jones,71,6.5,1.7,3.2,Undrafted,2000-01
305,Chucky Atkins,81,12.0,2.1,4.1,Undrafted,2000-01
306,Daniel Santiago,54,3.1,1.9,0.2,Undrafted,2000-01
307,David Wesley,82,17.2,2.7,4.4,Undrafted,2000-01
308,David Vanterpool,22,5.5,1.7,3.0,Undrafted,2000-01
309,Darvin Ham,29,3.8,4.2,0.9,Undrafted,2000-01
310,Darrick Martin,31,3.3,0.5,0.5,Undrafted,2000-01
311,Darrell Armstrong,75,15.8,4.6,7.0,Undrafted,2000-01
312,David Benoit,49,3.6,1.7,0.4,Undrafted,2000-01
313,Milt Palacio,58,5.9,1.8,2.6,Undrafted,2000-01
314,Terry Davis,19,1.7,2.8,0.4,Undrafted,2000-01
315,Terrance Roberson,3,0.0,0.3,0.3,Undrafted,2000-01
316,Steve Goodrich,12,1.6,1.8,0.5,Undrafted,2000-01
317,Zendon Hamilton,3,3.0,2.7,0.0,Undrafted,2000-01
318,Tyrone Nesby,62,8.3,2.8,1.2,Undrafted,2000-01
319,Troy Hudson,75,4.8,1.4,2.2,Undrafted,2000-01
320,Ruben Wolkowyski,34,2.2,1.4,0.1,Undrafted,2000-01
321,Slava Medvedenko,7,4.6,1.3,0.3,Undrafted,2000-01
322,Robert Pack,74,6.5,1.9,4.0,Undrafted,2000-01
323,Rick Brunson,22,2.1,1.0,1.4,Undrafted,2000-01
324,Reggie Slater,55,4.6,3.4,0.5,Undrafted,2000-01
325,Pepe Sanchez,29,0.7,0.5,1.4,Undrafted,2000-01
326,Paul McPherson,55,4.8,1.4,0.7,Undrafted,2000-01
327,Raja Bell,5,1.0,0.2,0.0,Undrafted,2000-01
